finding_title_1,finding_title_2,similarity_score
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/app/classes/db.php:44,97.55034446716309
Microsoft Windows Security Update for October 2022,Microsoft Windows Security Update for December 2022,97.23896980285645
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/app/classes/db.php:40,97.21789956092834
Dangerous File Inclusion - onlinetests/includes/global.php:422,Dangerous File Inclusion - onlinetests/college/includes/global.php:173,97.17032313346863
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,97.14864492416382
Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,97.05130457878113
Dangerous File Inclusion - onlinetests/college/includes/global.php:173,Dangerous File Inclusion - onlinetests/includes/global.php:422,97.01899886131287
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/app/classes/db.php:27,97.01403379440308
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/app/classes/db.php:40,96.95390462875366
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/app/classes/db.php:27,96.77786827087402
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,96.73064947128296
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/app/classes/db.php:44,96.62833213806152
Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,96.58094644546509
Microsoft Windows Security Update for December 2022,Microsoft Windows Security Update for October 2022,96.28978371620178
Insufficient SSL Enforcement,Insufficient SSL Enforcement,95.92914581298828
Insufficient SSL Enforcement,Insufficient SSL Enforcement,95.70925235748291
Microsoft Windows Security Update for January 2023,Microsoft Windows Security Update for September 2022,95.6398606300354
Git Multiple Security Vulnerabilities,Git Multiple Security Vulnerabilities,95.48894166946411
Microsoft Windows Security Update for September 2022,Microsoft Windows Security Update for January 2023,95.34777402877808
Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - onlinetests/includes/global.php:422,94.46824789047241
Git Multiple Security Vulnerabilities,Git Multiple Security Vulnerabilities,94.43082809448242
Dangerous File Inclusion - onlinetests/includes/global.php:422,Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,93.55745911598206
Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - onlinetests/includes/global.php:422,93.48911643028259
Dangerous File Inclusion - onlinetests/college/includes/global.php:173,Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,93.45262050628662
Dangerous File Inclusion - onlinetests/includes/global.php:422,Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,93.30080151557922
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,93.28360557556152
Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - onlinetests/college/includes/global.php:173,93.16816329956055
Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - onlinetests/college/includes/global.php:173,93.14188361167908
Microsoft Windows Security Update for November 2022,Microsoft Windows Server Elevation of Privilege Vulnerability for November 2022,92.89414286613464
SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,92.76705980300903
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,92.59474277496338
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,92.36701130867004
Dangerous File Inclusion - onlinetests/college/includes/global.php:173,Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,92.26940274238586
pkg:npm/node-forge@0.10.0,pkg:npm/node-forge@0.10.0,92.18108654022217
Dangerous File Inclusion - maintenance.php:13,Dangerous File Inclusion - onlinetests/includes/global.php:422,92.169588804245
Microsoft Windows Server Elevation of Privilege Vulnerability for November 2022,Microsoft Windows Security Update for November 2022,92.15515851974487
SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,92.04065799713135
SQL Injection - onlinetests/app/test_end.php:73,SQL Injection - onlinetests/app/test_end.php:73,91.86898469924927
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,91.61396622657776
pkg:npm/terser@5.10.0,pkg:npm/terser@4.8.0,91.56733751296997
SQL Injection - onlinetests/includes/functions.php:194,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,91.21003150939941
Dangerous File Inclusion - onlinetests/college/includes/global.php:173,Dangerous File Inclusion - maintenance.php:13,91.13129377365112
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,SQL Injection - onlinetests/includes/functions.php:194,91.07129573822021
SQL Injection - onlinetests/app/test_end.php:73,SQL Injection - onlinetests/app/test_end.php:73,91.03901386260986
Cross-Site Scripting: Reflected - onlinetests/includes/tutorials.withoutiframe.php:74,Cross-Site Scripting: Reflected - minisites/calendar/scripts/calendar.php:39,90.9761130809784
SQL Injection - onlinetests/includes/functions.php:11,SQL Injection - onlinetests/includes/functions.php:194,90.92552661895752
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,90.84081649780273
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,90.70924520492554
pkg:npm/node-forge@0.10.0,pkg:npm/node-forge@0.10.0,90.65905809402466
pkg:npm/terser@4.8.0,pkg:npm/terser@5.10.0,90.6251072883606
Cross-Site Scripting: Reflected - share.php:27,Cross-Site Scripting: Reflected - minisites/calendar/scripts/calendar.php:39,90.31961560249329
Dangerous File Inclusion - onlinetests/includes/global.php:422,Dangerous File Inclusion - maintenance.php:13,90.22278785705566
Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,Dangerous File Inclusion - onlinetests/includes/global.php:422,90.16427993774414
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,90.13402462005615
Dangerous File Inclusion - maintenance.php:13,Dangerous File Inclusion - onlinetests/college/includes/global.php:173,90.01719355583191
SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,90.01103639602661
Dangerous File Inclusion - onlinetests/includes/global.php:422,Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,89.84395265579224
Cross-Site Scripting: Reflected - minisites/calendar/scripts/calendar.php:39,Cross-Site Scripting: Reflected - onlinetests/includes/tutorials.withoutiframe.php:74,89.8438811302185
SQL Injection - onlinetests/includes/functions.php:194,SQL Injection - onlinetests/includes/functions.php:11,89.81125354766846
Dangerous File Inclusion - onlinetests/college/includes/global.php:173,Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,89.78188037872314
Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - maintenance.php:13,89.75585699081421
Dangerous File Inclusion - onlinetests/college/includes/global.php:173,Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,89.66233134269714
Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,Dangerous File Inclusion - onlinetests/includes/global.php:422,89.5226538181305
Dangerous File Inclusion - onlinetests/includes/global.php:422,Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,89.45779204368591
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,89.37287330627441
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,89.37060832977295
Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,Dangerous File Inclusion - onlinetests/college/includes/global.php:173,89.30985927581787
Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,Dangerous File Inclusion - onlinetests/college/includes/global.php:173,89.3074095249176
